Name,Abbrev,Place,Id,Code,Department,Authors,Score 3 Yr,Score Overall
Universitas Indonesia,UI,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",430,001002,257,3495,791334,2140114
Universitas Gadjah Mada,UGM,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",384,001001,303,3197,746895,2088485
Institut Pertanian Bogor,IPB,"KAB. BOGOR - JAWA BARAT, ID",428,002003,176,1508,652269,1899166
Universitas Diponegoro,UNDIP,"KOTA SEMARANG - JAWA TENGAH, ID",6,001008,170,1782,543549,1431920
Universitas Airlangga,UNAIR,"KOTA SURABAYA - JAWA TIMUR, ID",380,001004,184,2346,510994,1005981
Universitas Sebelas Maret,UNS,"KOTA SURAKARTA - JAWA TENGAH, ID",8,001027,184,1736,484061,1059208
Universitas Brawijaya,UB,"KOTA MALANG - JAWA TIMUR, ID",404,001019,178,2336,477249,1173516
Universitas Andalas,UNAND,"KOTA PADANG - SUMATERA BARAT, ID",394,001006,134,1429,400727,816756
Institut Teknologi Bandung,ITB,"KOTA BANDUNG - JAWA BARAT, ID",379,002001,133,1613,386905,1616221
Universitas Hasanuddin,UNHAS,"KOTA MAKASSAR - SULAWESI SELATAN, ID",385,001005,213,1883,378856,864747
Universitas Pendidikan Indonesia,UPI,"KOTA BANDUNG - JAWA BARAT, ID",414,001034,172,1757,376136,818354
Universitas Sumatera Utara,USU,"KOTA MEDAN - SUMATERA UTARA, ID",441,001003,165,1919,327654,712857
Universitas Negeri Malang,UM,"KOTA MALANG - JAWA TIMUR, ID",438,001033,131,1470,322273,652960
Universitas Padjadjaran,UNPAD,"KAB. SUMEDANG - JAWA BARAT, ID",481,001007,186,2219,311702,825807
Universitas Negeri Padang,UNP,"KOTA PADANG - SUMATERA BARAT, ID",497,001032,112,1302,311433,596840
Universitas Telkom,TEL-U,"KAB. BANDUNG - JAWA BARAT, ID",1093,041057,39,998,311295,604252
Institut Teknologi Sepuluh Nopember,ITS,"KOTA SURABAYA - JAWA TIMUR, ID",417,002002,91,1114,283493,898720
Universitas Udayana,UNUD,"KAB. BADUNG - BALI, ID",433,001013,119,1894,276903,672130
Universitas Negeri Jakarta,UNJ,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",435,001037,117,1041,275830,417056
Badan Riset dan Inovasi Nasional,BRIN,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",444,0,0,2234,272343,1031696
Universitas Syiah Kuala,USK,"KOTA BANDA ACEH - ACEH, ID",442,001011,140,1707,266492,667698
Universitas Bina Nusantara,BINUS,"KOTA ADM. JAKARTA BARAT - DKI JAKARTA, ID",388,031038,54,1220,264336,546522
