Affiliations,Level,Department,Authors,Code ,Score 3 Yr,Score Overall
Universitas Gadjah Mada,S3,Doktor Ilmu Farmasi,5,48001,12387,44727
Universitas Gadjah Mada,S1,Kedokteran,76,11201,12268,40279
Universitas Gadjah Mada,S3,Doktor Kimia,9,47001,12200,43993
Universitas Gadjah Mada,S1,Farmasi,44,48201,11321,35172
Universitas Gadjah Mada,S1,Ilmu dan Industri Peternakan,43,54231,10937,21153
Universitas Gadjah Mada,S2,Magister Kimia,11,47101,10695,36645
Universitas Gadjah Mada,S1,Kehutanan,66,54252,10224,25178
Universitas Gadjah Mada,S3,Doktor Teknik Elektro,7,20001,9673,36981
Universitas Gadjah Mada,S3,Doktor Ilmu Geografi,9,51001,9666,25221
Universitas Gadjah Mada,S1,Teknik Kimia,16,24201,9481,22874
Universitas Gadjah Mada,S1,Kimia,25,47201,8745,26568
Universitas Gadjah Mada,S2,Magister Teknologi informasi,8,59101,8699,38952
Universitas Gadjah Mada,S1,Kedokteran Hewan,55,54261,8235,20949
Universitas Gadjah Mada,S3,Doktor Biologi,12,46001,7683,19159
Universitas Gadjah Mada,S2,Magister Ilmu Farmasi,11,48101,7164,22837
Universitas Gadjah Mada,S1,Teknik Pertanian,20,41201,7119,10152
Universitas Gadjah Mada,S3,Doktor Teknik Mesin,7,21001,7079,23855
Universitas Gadjah Mada,S3,Doktor Ilmu Lingkungan,5,95029,7028,11753
Universitas Gadjah Mada,S2,Magister Teknik Kimia,6,24101,6848,18881
Universitas Gadjah Mada,S1,Teknik Geologi,23,34201,6691,15645
Universitas Gadjah Mada,S3,Doktor Fisika,5,45001,6686,19610
Universitas Gadjah Mada,S1,Teknik Biomedis,5,11410,6569,24730
Universitas Gadjah Mada,S3,Doktor Ilmu Kedokteran dan Kesehatan,5,11001,6024,18148
Universitas Gadjah Mada,S1,Biologi,42,46201,5802,12150
Universitas Gadjah Mada,S1,Kartografi dan Penginderaan Jauh,11,51211,5714,12727
Universitas Gadjah Mada,S2,Magister Teknik Elektro,8,20101,5624,22265
Universitas Gadjah Mada,S1,Teknik Mesin,19,21201,5597,18259
Universitas Gadjah Mada,S1,Fisika,25,45201,5596,20527
Universitas Gadjah Mada,S1,Geografi Lingkungan,13,25201,5559,10255
Universitas Gadjah Mada,S3,Doktor Teknik Kimia,6,24001,5533,17014
Universitas Gadjah Mada,S3,Doktor Ilmu Peternakan,7,54031,5306,11934
Universitas Gadjah Mada,S3,Doktor Ilmu Komputer,9,55001,5112,23319
Universitas Gadjah Mada,S3,Doktor Teknik Geologi,6,34001,5073,12905
Universitas Gadjah Mada,S2,Magister Teknik Geologi,8,34101,5031,12490
Universitas Gadjah Mada,S2,Magister Ilmu dan Teknologi Pangan,9,41103,4876,17936
Universitas Gadjah Mada,S2,Magister Geografi,6,51101,4705,6862
Universitas Gadjah Mada,S3,Doktor Ilmu Pangan,7,41021,4659,22575
Universitas Gadjah Mada,S2,Magister Kebijakan dan Manajemen Kesehatan,6,13163,4567,20015
Universitas Gadjah Mada,S2,Magister Keperawatan,11,14101,4356,11224
Universitas Gadjah Mada,S2,Magister Biologi,10,46101,4309,12206
Universitas Gadjah Mada,S3,Doktor Ilmu Teknik Pertanian,7,41001,4223,5952
Universitas Gadjah Mada,S3,Doktor Ilmu Pertanian,10,54001,4217,10558
Universitas Gadjah Mada,S3,Doktor Teknik Industri,5,26001,4188,13776
Universitas Gadjah Mada,Sp1,Ilmu Kesehatan Anak,23,11711,4184,17215
Universitas Gadjah Mada,Pro,Profesi Insinyur Peternakan,6,23903,4155,9204
Universitas Gadjah Mada,S1,Teknik Fisika,20,30201,4047,10832
Universitas Gadjah Mada,S3,Doktor Kependudukan,4,95002,3929,7957
Universitas Gadjah Mada,S2,Magister Ilmu Kedokteran Tropis,6,11104,3839,11823
Universitas Gadjah Mada,S2,Magister Teknik Pertanian,5,41101,3772,5320
Universitas Gadjah Mada,S1,Teknik Industri,14,26201,3768,10364
Universitas Gadjah Mada,Sp2,Ilmu Kesehatan Anak,8,11733,3679,12214
Universitas Gadjah Mada,S2,Magister Fitopatologi,5,54111,3655,10955
Universitas Gadjah Mada,S3,Doktor Sain Veteriner,6,54062,3613,9974
Universitas Gadjah Mada,S2,Magister Teknik Mesin,7,21101,3509,12519
Universitas Gadjah Mada,S2,Magister Manajemen Farmasi,5,48105,3502,6815
Universitas Gadjah Mada,S2,Magister Bioteknologi,5,46102,3489,8093
Universitas Gadjah Mada,Sp1,Ilmu Bedah,13,11707,3413,9727
Universitas Gadjah Mada,Sp1,Patologi Anatomi,7,11718,3403,7716
Universitas Gadjah Mada,Sp1,Bedah Anak,2,11717,3399,8388
Universitas Gadjah Mada,S2,Magister Sains Veteriner,6,54162,3390,12472
Universitas Gadjah Mada,S1,Ilmu Aktuaria,8,94203,3335,7793
Universitas Gadjah Mada,S2,Magister Teknologi Hasil Perkebunan,7,41133,3277,9676
Universitas Gadjah Mada,Sp1,Mikrobiologi Klinik,6,11725,3258,11736
Universitas Gadjah Mada,S2,Magister Teknik Pengelolaan Bencana Alam,5,22105,3243,7018
Universitas Gadjah Mada,S3,Doktor Teknologi Industri Pertanian,5,41011,3184,11368
Universitas Gadjah Mada,S2,Magister Farmasi Klinik,6,48102,3161,9052
Universitas Gadjah Mada,S1,Gizi Kesehatan,15,13211,3161,11037
Universitas Gadjah Mada,S1,Teknologi Pangan dan Hasil Pertanian,16,41231,3080,7756
Universitas Gadjah Mada,Pro,Profesi Dokter Hewan,7,54961,3073,10267
Universitas Gadjah Mada,S2,Magister Ilmu Kesehatan Masyarakat,10,13101,3018,12488
Universitas Gadjah Mada,S2,Magister Fisika,9,45101,2990,11568
Universitas Gadjah Mada,S1,Elektronika dan Instrumentasi,18,30202,2927,7069
Universitas Gadjah Mada,S2,Magister Manajemen Agribisnis,5,54101,2890,4436
Universitas Gadjah Mada,S1,Teknologi Industri Pertanian,24,41211,2862,9441
Universitas Gadjah Mada,S2,Magister Ilmu Biomedik,5,11101,2852,9779
Universitas Gadjah Mada,S1,Teknik Elektro,16,20201,2808,14816
Universitas Gadjah Mada,S2,Magister Teknik Sistem,4,31103,2781,9656
Universitas Gadjah Mada,S2,Magister Agronomi,6,54104,2746,4683
Universitas Gadjah Mada,S2,Magister Teknik Industri,6,26101,2700,10375
Universitas Gadjah Mada,S2,Magister Penginderaan Jauh,8,51111,2692,5941
Universitas Gadjah Mada,S2,Magister Ilmu Perikanan,7,54146,2677,11108
Universitas Gadjah Mada,S2,Magister Teknik Fisika,6,30101,2652,6850
Universitas Gadjah Mada,S2,Magister Ilmu Kehutanan,6,54151,2645,6388
Universitas Gadjah Mada,S2,Magister Teknik Biomedis,5,11123,2620,9012
Universitas Gadjah Mada,S2,Magister Pemuliaan Tanaman,4,54107,2620,5006
Universitas Gadjah Mada,Sp1,Neurologi,13,11703,2618,6376
Universitas Gadjah Mada,S2,Magister Ilmu Peternakan,5,54131,2601,5363
Universitas Gadjah Mada,S1,Geofisika,11,33201,2588,8135
Universitas Gadjah Mada,S2,Magister Ilmu Tanah,6,54105,2562,5432
Universitas Gadjah Mada,S2,Magister Ekonomi Pertanian,7,54102,2529,3513
Universitas Gadjah Mada,S1,Manajemen,24,61201,2430,4684
Universitas Gadjah Mada,S2,Magister Teknik Geomatika,8,29101,2418,4005
Universitas Gadjah Mada,S1,Ilmu Komputer,13,55201,2398,8862
Universitas Gadjah Mada,S2,Magister Matematika,10,44101,2289,6956
Universitas Gadjah Mada,S2,Magister Ilmu Lingkungan,4,95129,2234,4344
Universitas Gadjah Mada,D4,Teknologi Rekayasa Mesin,7,21302,2208,4415
Universitas Gadjah Mada,Pro,Profesi Dokter,28,11901,2197,5365
Universitas Gadjah Mada,S2,Magister Kajian Pariwisata,5,95104,2160,6031
Universitas Gadjah Mada,S2,Magister Pengkajian Seni Pertunjukan dan Seni Rupa,5,91101,2095,7595
Universitas Gadjah Mada,Sp2,Ilmu Bedah,3,11732,2089,2802
Universitas Gadjah Mada,S3,Doktor Ilmu Kehutanan,5,54051,2089,7956
Universitas Gadjah Mada,S3,Doktor Ilmu Manajemen,6,61001,2089,5720
Universitas Gadjah Mada,S3,Doktor Teknik Geomatika,5,29001,2056,4362
Universitas Gadjah Mada,Sp1,Dermatologi dan Venereologi,15,11704,2033,13073
Universitas Gadjah Mada,D3,Teknik Mesin,8,21401,2001,4115
Universitas Gadjah Mada,S3,Doktor Bioteknologi,5,46002,1992,5186
Universitas Gadjah Mada,S2,Magister Ilmu Komputer,7,55101,1986,4867
Universitas Gadjah Mada,S1,Agronomi,13,54297,1982,4779
Universitas Gadjah Mada,S1,Teknik Geodesi,17,29201,1967,4449
Universitas Gadjah Mada,S3,Doktor Matematika,7,44002,1924,7431
Universitas Gadjah Mada,S2,Magister Teknik Pengendalian Pencemaran Industrial,3,24103,1890,4463
Universitas Gadjah Mada,S1,Teknologi Hasil Perikanan,7,54244,1858,4136
Universitas Gadjah Mada,S1,Teknik Sipil,15,22201,1842,6256
Universitas Gadjah Mada,S2,Magister Teknologi Industri Pertanian,5,41111,1812,3125
Universitas Gadjah Mada,S3,Doktor Ilmu Kedokteran Gigi,6,12001,1798,10057
Universitas Gadjah Mada,S3,Doktor Antropologi,4,82001,1794,3528
Universitas Gadjah Mada,S1,Ilmu Tanah,7,54294,1720,7414
Universitas Gadjah Mada,S2,Magister Akuntansi,13,62103,1714,4395
Universitas Gadjah Mada,S1,Matematika,18,44201,1705,6032
Universitas Gadjah Mada,D4,Teknologi Rekayasa Perangkat Lunak,9,58301,1633,5395
Universitas Gadjah Mada,S3,Doktor Ilmu Akuntansi,6,62001,1603,6234
Universitas Gadjah Mada,S2,Magister Ilmu Kedokteran Klinis,6,11103,1594,11555
Universitas Gadjah Mada,S1,Statistika,6,49201,1507,3146
Universitas Gadjah Mada,D3,Agroindustri,7,41411,1381,2187
Universitas Gadjah Mada,D4,Teknologi Rekayasa Instrumentasi dan Kontrol,7,20301,1380,3005
Universitas Gadjah Mada,S2,Magister Bioetika,5,68102,1358,4472
Universitas Gadjah Mada,S1,Arsitektur,12,23201,1357,3137
Universitas Gadjah Mada,S1,Arkeologi,10,81201,1350,3368
Universitas Gadjah Mada,S3,Doktor Ilmu-Ilmu Humaniora,6,95031,1335,3054
Universitas Gadjah Mada,S2,Magister Ilmu Pendidikan Kedokteran dan Kesehatan,6,11109,1334,5036
Universitas Gadjah Mada,S3,Doktor Penyuluhan dan Komunikasi Pembangunan,3,54003,1328,4408
Universitas Gadjah Mada,Pro,Profesi Apoteker,7,48901,1312,3154
Universitas Gadjah Mada,S2,Magister Manajemen dan Kebijakan Publik,6,63101,1300,4240
Universitas Gadjah Mada,S3,Doktor Teknik Sipil,8,22001,1289,5942
Universitas Gadjah Mada,Sp1,Radiologi,12,11723,1265,4182
Universitas Gadjah Mada,S1,Kedokteran Gigi,16,12201,1251,3487
Universitas Gadjah Mada,Sp1,Kedokteran Keluarga Layanan Primer,6,11730,1248,3696
Universitas Gadjah Mada,S2,Magister Ilmu Kedokteran Gigi,7,12101,1238,4198
Universitas Gadjah Mada,D4,Teknologi Rekayasa Elektro,6,20307,1160,1763
Universitas Gadjah Mada,S1,Proteksi Tanaman,6,54295,1131,3524
Universitas Gadjah Mada,S1,Hukum,40,74201,1120,2338
Universitas Gadjah Mada,S2,Magister Ilmu Hama Tanaman,6,54106,1120,4036
Universitas Gadjah Mada,S2,Magister Kecerdasan Artifisial,2,49302,1113,2554
Universitas Gadjah Mada,S2,Magister Sistem dan Teknik Transportasi,6,22102,1103,3755
Universitas Gadjah Mada,Sp1,Ilmu Kesehatan Mata,12,11701,1101,9269
Universitas Gadjah Mada,Pro,Program Profesi Insinyur,4,23902,1096,6311
Universitas Gadjah Mada,Pro,Profesi Ners,7,14901,1092,1763
Universitas Gadjah Mada,S2,Magister Manajemen Bencana,4,61104,1090,3499
Universitas Gadjah Mada,Sp1,Urologi,5,11713,1072,1955
Universitas Gadjah Mada,Pro,Profesi Dokter Gigi,14,12901,1063,1631
Universitas Gadjah Mada,Sp1,Ilmu Penyakit Dalam,12,11702,1036,6840
Universitas Gadjah Mada,S1,Manajemen Sumberdaya Akuatik,7,54242,991,1991
Universitas Gadjah Mada,S1,Pembangunan Sosial dan Kesejahteraan,14,68201,983,1271
Universitas Gadjah Mada,Sp2,Ilmu Penyakit Dalam,8,11734,982,3254
Universitas Gadjah Mada,S2,Magister Sains Akuntansi,7,62101,975,3545
Universitas Gadjah Mada,S1,Akuakultur,6,54247,964,1486
Universitas Gadjah Mada,S1,Teknik Nuklir,15,37201,955,2228
Universitas Gadjah Mada,S2,Magister Penyuluhan dan Komunikasi Pembangunan,5,54103,947,1730
Universitas Gadjah Mada,D4,Pengelolaan Hutan,7,54352,943,1899
Universitas Gadjah Mada,S1,Ekonomi Pertanian dan Agribisnis,13,54299,938,1306
Universitas Gadjah Mada,Sp2,Obstetri Dan Ginekologi,6,11816,925,2993
Universitas Gadjah Mada,Sp1,Patologi Klinik,11,11719,922,4900
Universitas Gadjah Mada,S2,Magister Ekonomika Pembangunan,9,60102,910,2481
Universitas Gadjah Mada,S1,Perencanaan Wilayah dan Kota,16,35201,902,1422
Universitas Gadjah Mada,D4,Teknologi Veteriner,6,54362,895,1323
Universitas Gadjah Mada,S2,Magister Sains Manajemen,6,61102,872,2697
Universitas Gadjah Mada,S2,Magister Kependudukan,4,95102,869,1291
Universitas Gadjah Mada,S3,Doktor Kajian Pariwisata,2,95004,798,2042
Universitas Gadjah Mada,S2,Magister Manajemen (Kampus Jakarta),6,61171,797,2686
Universitas Gadjah Mada,Sp1,Konservasi Gigi,8,12703,793,3699
Universitas Gadjah Mada,S1,Antropologi Budaya,7,82201,776,1846
Universitas Gadjah Mada,Sp1,Ilmu Penyakit Jantung dan Pembuluh Darah,12,11715,776,6856
Universitas Gadjah Mada,S1,Sastra Inggris,8,79202,775,1275
Universitas Gadjah Mada,S1,Teknologi Informasi,9,59201,774,3758
Universitas Gadjah Mada,Sp1,Ortodonsia,10,12706,758,1715
Universitas Gadjah Mada,S2,Magister Psikologi,10,73101,711,2186
Universitas Gadjah Mada,D4,Teknologi Rekayasa Internet,7,56304,705,2265
Universitas Gadjah Mada,S2,Magister Kepemimpinan dan Inovasi Kebijakan (Magis,3,95107,687,1084
Universitas Gadjah Mada,D4,Pengembangan Produk Agroindustri,5,41311,684,1076
Universitas Gadjah Mada,S2,Magister Ilmu Hubungan Internasional,5,64101,678,1302
Universitas Gadjah Mada,S2,Magister Teknik Sipil,8,22101,664,3553
Universitas Gadjah Mada,S2,Magister Sejarah,5,80101,661,1318
Universitas Gadjah Mada,D4,Manajemen Informasi Kesehatan,10,13363,657,1475
Universitas Gadjah Mada,S2,Magister Manajemen,6,61101,656,2587
Universitas Gadjah Mada,S2,Magister Ilmu Kedokteran Gigi Klinis,6,12102,652,3195
Universitas Gadjah Mada,S3,Doktor Ilmu Komunikasi,5,70001,647,1728
Universitas Gadjah Mada,S1,Teknik Infrastruktur Lingkungan,6,22104,639,2066
Universitas Gadjah Mada,S1,Ilmu Komunikasi,17,70201,639,915
Universitas Gadjah Mada,S2,Magister Ilmu Komunikasi,7,70101,635,1350
Universitas Gadjah Mada,Pro,Pendidikan Profesi Dietisien,6,13911,622,2479
Universitas Gadjah Mada,S2,Magister Manajemen Pendidikan Tinggi,6,86105,620,1073
Universitas Gadjah Mada,S2,Magister Sosiologi,7,69101,606,1598
